#Time TotalMass(kg) flux(inlet) flux(outlet)
1729.45 0 0 0
1739.09 0 0 0
1748.71 0 0 0
1758.29 0 0 0
1767.85 0 0 0
1777.38 0 0 0
1786.88 0 0 0
1796.36 0 0 0
1805.8 0 0 0
1815.22 0 0 0
1824.6 0 0 0
1833.97 0 0 0
1843.3 0 0 0
1852.61 0 0 0
1861.89 0 0 0
1871.14 0 0 0
1880.36 0 0 0
1889.56 0 0 0
1898.73 0 0 0
1907.88 0 0 0
1916.99 0 0 0
1926.08 0 0 0
1935.15 0 0 0
1944.18 0 0 0
1953.19 0 0 0
1962.17 0 0 0
1971.13 0 0 0
1980.06 0 0 0
1988.96 0 0 0
1997.84 0 0 0
2006.69 0 0 0
2015.52 0 0 0
2024.32 0 0 0
2033.09 0 0 0
2041.84 0 0 0
2050.57 0 0 0
2059.29 0 0 0
2068.02 0 0 0
2078.48 0 0 0
2088.91 0 0 0
2099.3 0 0 0
2109.66 0 0 0
2119.97 0 0 0
2130.24 0 0 0
2140.49 0 0 0
2150.7 0 0 0
2160.87 0 0 0
2170.99 0 0 0
2181.1 0 0 0
2191.16 0 0 0
2201.18 0 0 0
2211.17 0 0 0
2221.13 0 0 0
2231.09 0 0 0
2241.05 0 0 0
2251.01 0 0 0
2260.97 0 0 0
2270.93 0 0 0
2280.89 0 0 0
2290.85 0 0 0
2300.81 0 0 0
2310.77 0 0 0
2320.73 0 0 0
2330.69 0 0 0
2340.65 0 0 0
2350.61 0 0 0
2360.57 0 0 0
2370.53 0 0 0
2380.49 0 0 0
2390.45 0 0 0
2400.41 0 0 0
2410.37 0 0 0
2420.33 0 0 0
2430.29 0 0 0
2440.25 0 0 0
2450.21 0 0 0
2460.17 0 0 0
2470.13 0 0 0
2480.09 0 0 0
2490.05 0 0 0
2500.01 0 0 0
2509.97 0 0 0
2519.93 0 0 0
2529.89 0 0 0
2539.85 0 0 0
2549.81 0 0 0
2559.77 0 0 0
2569.73 0 0 0
2579.69 0 0 0
2589.65 0 0 0
2599.61 0 0 0
2609.57 0 0 0
2619.53 0 0 0
2629.49 0 0 0
2639.45 0 0 0
2649.41 0 0 0
2659.37 0 0 0
2669.33 0 0 0
2679.29 0 0 0
2689.26 0 0 0
2699.22 0 0 0
2709.18 0 0 0
2719.14 0 0 0
2729.1 0 0 0
2739.06 0 0 0
2749.02 0 0 0
2758.98 0 0 0
2768.94 0 0 0
2778.9 0 0 0
2788.86 0 0 0
2798.82 0 0 0
2808.78 0 0 0
2818.74 0 0 0
2828.7 0 0 0
2838.66 0 0 0
2848.62 0 0 0
2858.58 0 0 0
2868.54 0 0 0
2878.5 0 0 0
2888.46 0 0 0
2898.42 0 0 0
2908.38 0 0 0
2918.34 0 0 0
2928.3 0 0 0
2938.26 0 0 0
2948.22 0 0 0
2958.18 0 0 0
2968.14 0 0 0
2980.08 0 0 0
2991.96 0 0 0
3003.75 0 0 0
3015.49 0 0 0
3027.15 0 0 0
3038.75 0 0 0
3050.28 0 0 0
3061.75 0 0 0
3073.14 0 0 0
3084.46 0 0 0
3095.72 0 0 0
3106.91 0 0 0
3118.05 0 0 0
3129.18 0 0 0
3140.32 0 0 0
3151.46 0 0 0
3162.59 0 0 0
3173.73 0 0 0
3184.86 0 0 0
3196 0 0 0
3207.14 0 0 0
3218.27 0 0 0
3229.41 0 0 0
3240.54 0 0 0
3251.68 0 0 0
3262.81 0 0 0
3273.95 0 0 0
3285.09 0 0 0
3296.22 0 0 0
3307.36 0 0 0
3318.49 0 0 0
3329.63 0 0 0
3340.77 0 0 0
3351.9 0 0 0
3363.04 0 0 0
3374.17 0 0 0
3385.31 0 0 0
3396.44 0 0 0
3407.58 0 0 0
3418.72 0 0 0
3429.85 0 0 0
3440.99 0 0 0
3452.12 0 0 0
3463.26 0 0 0
3474.4 0 0 0
3485.53 0 0 0
3496.67 0 0 0
3507.8 0 0 0
3518.94 0 0 0
3530.07 0 0 0
3541.21 0 0 0
3552.35 0 0 0
3563.48 0 0 0
3574.62 0 0 0
3585.75 0 0 0
3596.89 0 0 0
3608.03 0 0 0
3619.16 0 0 0
3630.3 0 0 0
3641.43 0 0 0
3652.57 0 0 0
3663.7 0 0 0
3674.84 0 0 0
3685.98 0 0 0
3697.11 0 0 0
3708.25 0 0 0
3719.38 0 0 0
3730.52 0 0 0
3741.66 0 0 0
3752.79 0 0 0
3763.93 0 0 0
3775.06 0 0 0
3786.2 0 0 0
3797.33 0 0 0
3808.47 0 0 0
3819.61 0 0 0
3830.74 0 0 0
3841.88 0 0 0
3853.01 0 0 0
3864.15 0 0 0
